index,mbti,movie
287,"Sugar Kane Kowalczyk(ESFP),Jerry / Daphne(ESFJ),Spats Colombo(ESTJ),Osgood Fielding III(ENFP),Joe / Josephine / Shell Oil Junior(XXXX),Joe / Josephine / Shell Oil Junior(XXXX),",   Some Like It Hot (1959)
288,"Donald Kaufman(ESFP),Alice(ESFJ),Robert McKee(ESTJ),John Laroche(ISTP),Susan Orlean(ISTJ),Charlie Kaufman(INFP),",   Adaptation (2002 )
289,"Bobby Pellitt(ESFP),Dave Harken(ESTJ),Rex Hanson(ENTP),Dale Arbus(ISFP),Dean Jones(ISTP),Nick Hendricks(ISTJ),Bert Hanson(INTJ),",   Horrible Bosses (2011)
290,"Devon(ESFP),Gryffin(ESFP),Kayley(ENFP),Julianna(ENFJ),King Arthur(ENFJ),Cornwall(ENTP),Ruber(ENTJ),Ruber(ENTJ),Garrett(ISTP),Ayden(INFJ),Merlin(INTJ),",   The Quest For Camelot (1998)
291,"Edward VIII “David”(ESFP),Winston Churchill(ESTP),Lionel Logue(ENTP),King George VI(ISTJ),",   The King's Speech (2010)
292,"Ganyotçu(ESFP),Şahin galerici(ESFJ),Sabri abi(ESTJ),Tayfun(ISTP),",   Kolpaçino
293,"Margo Channing(ESFP),Eve Harrington(INFJ),Addison DeWitt(XXXX),",   All About Eve (1950)
294,"Max Eckhardt(ESFP),Selina Kyle ""Catwoman""(ESTP),Charles ""Chip"" Shreck(ESTP),Commissioner James Gordon(ESTJ),Oswald Cobblepot ""The Penguin""(ENFP),Alexander Knox(ENTP),Alexander Knox(ENTP),Jack Napier ""Joker""(ENTJ),Max Shreck(ENTJ),Harvey Dent(ENTJ),Carl Grissom(ENTJ),Alfred Pennyworth(ISFJ),Bob ""The Goon"" Hawkins(ISFJ),Vicki Vale(INFJ),Bruce Wayne ""Batman""(INTJ),",   Batman (1989-1992)
295,"Sydney(ESFP),Adrian Griffin(ENTJ),Tom Griffin(ISTJ),",   The Invisible Man (2020)
296,"Ferdinand(ESFP),Esme Cordelia Hoggett(ESFJ),Rex(ESTJ),Babe(ENFJ),Maa(ISFJ),Arthur Hoggett (Farmer Hoggett)(ISTJ),Duchess(INTJ),",   Babe (1995)
297,"Billy Hitchcock(ESFP),Terry Chaney(ESFP),Agent Weine(ESFJ),Agent Schreck(ESTJ),Valerie Lewton(ISFJ),Tod Waggner(INFP),Alex Browning(INTP),William Bludworth(INTP),Clear Rivers(INTJ),",   Final Destination (2000)
298,"Francis Fratelli(ESFP),Brandon ""Brand"" Walsh(ESTP),Mama Fratelli(ESTJ),Mama Fratelli(ESTJ),Clark ""Mouth"" Devereaux(ENTP),Sloth Fratelli(ISFP),Jake Fratelli(ISFP),Andrea ""Andy"" Carmichael(ISFJ),Andrea ""Andy"" Carmichael(ISFJ),Michael ""Mikey"" Walsh(INFP),Richard ""Data"" Wang(INTP),",   The Goonies (1985)
299,"Guy Fleegman(ESFP),Gwen DeMarco(ESFJ),Jason Nesmith(ESTP),Laliari(ENFP),Sarris(ENTJ),Quellek(ISFP),Tommy Webber(ISFJ),Mathesar(INFP),Fred Kwan(INTP),Brandon(INTP),",   Galaxy Quest (1999)
300,"Charlene Shiherlis(ESFP),Albert Torena(ESFP),Justine(ESFJ),Michael Cheritto(ESTP),Nate(ESTJ),Bosko(ESTJ),Vincent Hanna(ENTJ),Roger Van Zant(XXXX),Eady(ISFP),Eady(ISFP),Lauren Gustafson(ISFP),Dr. Bob(ISFJ),Chris Shiherlis(ISTP),Chris Shiherlis(ISTP),Waingro(ISTP),Trejo(ISTP),Casals(ISTP),Donald Breedan(ISTP),Neil McCauley(ISTJ),Kelso(INTP),",   Heat (1995)
301,"Semmi(ESFP),Queen Aoleon(ESFJ),King Jaffe Joffer(ESTJ),Prince Akeem of Zamunda(ENFJ),Lisa McDowell(ENFJ),",   Coming to America (1988)
302,"Joe Buck(ESFP),Enrico 'Ratso' Rizzo(ENTP),",   Midnight Cowboy (1969)
303,"Chance(ESFP),Sassy(ISTJ),Shadow(INFJ),",   Homeward Bound (1993)
304,"Bonzo(ESFP),Lacey(ESFJ),Tracey(ESFJ),Wynter(ESFJ),Stacey(ESFJ),Eliza(ESTJ),Willa(ESTJ),Ms. Lee(ESTJ),Dale(ESTJ),Zed(ENFP),Zoey(ENFP),Addison(ENFJ),Coach(XXXX),Missy(ENFJ),Bree(ISFP),Wyatt(XXXX),Zevon(INFJ),",   Z-O-M-B-I-E-S
305,"Captain Grogan(ESFP),Toole - Soldier in Fistfight(ESFP),Captain John Quin(ESFJ),Barry’s mother(ESTJ),Sir Charles Lyndon(ESTJ),Bryan Patrick Lyndon(ENFP),Narrator(ENFJ),Captain Potzdorf(ENTJ),Captain Feeny the Highwayman(XXXX),Herr Von Potzdorf (Minister of Police)(ISTJ),Lischen, German girl(INFP),Chevalier de Balibari(INTP),",   Barry Lyndon (1975)
306,"Ellie Creed(ESFP),Rachel Creed(ISFP),Jud Crandall(ISFJ),Jud Crandall(ISFJ),Louis Creed(INTP),",   Pet Sematary (2019)
307,"Jimbo(ESFP),Big Boss Baby(ESTJ),Tim Templeton(ENFP),Mega Fat Regular Baby(XXXX),Gigi Templeton(XXXX),The Triplets(XXXX),Francis E. Francis(ENFP),Forever Puppy(ENFP),Ted Templeton(ENFJ),Marisol(ENFJ),Staci(ENTP),Bootsy Calico(ENTP),Boss Baby(ENTJ),Boss Baby(ENTJ),Janice Templeton(ISFJ),Janice Templeton(ISFJ),Janice Templeton(ISFJ),Eugene Francis(ISFJ),",   Boss Baby (2017)
308,"Tweedle Dee and Tweedle Dum(ESFP),Red Queen(ESTJ),Mallymkun(ESTJ),Mallymkun(ESTJ),Mad Hatter(ENFP),Cheshire Cat(ENTP),Cheshire Cat(ENTP),Knave of Hearts(ENTP),father time(ISTJ),Charles(ISTJ),Alice(INFP),White Queen(INFJ),Caterpillar(INTJ),",   Alice in Wonderland (2010)
309,"Brooke Taylor-Windham(ESFP),Kyle O'Boyle(ESFJ),Vivian Kensington(ESTJ),Elle Woods(ENFJ),Serena(XXXX),Margot(XXXX),Enrique Salvatore(ENTP),Paulette Bonafonté(ISFP),Chutney Windham(ISFP),Enid Wexler(ISTP),David Kidney(ISTJ),Emmett Forrest(INFJ),Professor Callahan(INTJ),",   Legally Blonde (2001)
310,"Azul(ESFP),King Peter(XXXX),Tallulah(ESTP),Tallulah(ESTP),Queen Ariana(ESTJ),Prince Antonio(ENFP),Sagi(ENTP),Rosella(ISFP),Princess Luciana(ISFJ),Queen Danielle(ISFJ),Queen Marissa(INFJ),",   Barbie as the Island Princess (2007)
311,"Joanne Williams(ESFP),Connor O'Reilly(ESTP),Mia Williams(ISFP),",   Fish Tank (2009)
312,"Deloris(ESFP),Mary Patrick(ENFP),Mary Robert(ISFP),Mother Superior(ISTJ),",   Sister Act (1992)
313,"Rapunzel's Prince(ESFP),Wolf(ESTJ),Baker's Wife(ENTP),Witch(ENTJ),Witch(ENTJ),Cinderella(ISFJ),Rapunzel(INFJ),",   Into the Woods (2014)
314,"Madame de Garderobe(ESFP),Gaston(ESTP),Gaston(ESTP),Prince Adam ""Beast""(ESTJ),Chip(ENFP),Lumière(ENFJ),Plumette(ISFP),Maestro Cadenza(ISFP),Mrs. Potts(ISFJ),Mrs. Potts(ISFJ),Cogsworth(ISTJ),Belle(INFP),Enchantress(INFJ),Maurice(INTP),Maurice(INTP),",   Beauty and the Beast (2017)
315,"Erica(ESFP),Ms. Sarah Madison(ISFJ),Henry Barthes(INFJ),",   Detachment
316,"Anthony ""Tony"" Manero(ESFP),Stephanie Mangano(ISFJ),Bobby C(INFP),",   Saturday Night Fever (1977)
317,"Bibi Dahl(ESFP),Aristotle Kristatos(XXXX),Felix Leiter (Rik Van Nutter / Thunderball)(ESFP),Paris Carver(ESFP),Quarrel(ESFP),Kamran Shah(ESFP),Jill Masterson(ESFP),Solange(XXXX),Dr. Kananga / Mr. Big(ESFJ),Dr. Kananga / Mr. Big(ESFJ),Plenty O'Toole(ESFJ),Miss Moneypenny (Samantha Bond)(ESFJ),Miss Moneypenny (Caroline Bliss)(ESFJ),Willard Whyte(ESFJ),James Bond (Brosnan)(ESTP),James Bond (Moore)(ESTP),James Bond (Connery)(ESTP),Eve Moneypenny(ESTP),James Bond (Lazenby)(ESTP),Xenia Onatopp(ESTP),Dario(ESTP),Franz Sanchez(ESTP),Franz Sanchez(ESTP),Victor Zokas/Renard(ESTP),Victor Zokas/Renard(ESTP),Jinx Johnson(ESTP),Sylvia Trench(ESTP),Irma Bunt(ESTJ),General Orlov(ESTJ),Marc-Ange Draco(XXXX),Sheriff J.W. Pepper(ESTJ),Felix Leiter (Norman Burton / Diamonds are Forever)(ESTJ),Milton Krest(ESTJ),Dominic Greene(ENFP),Baron Samedi(XXXX),Jack Wade(XXXX),Stacey Sutton(ENFP),Georgi Koskov(ENFJ),Rene Mathis(XXXX),Ali Kerim Bey(ENFJ),Paloma(ENFJ),Raoul Silva(ENTP),Ernst Stavro Blofeld (Charles Gray)(ENTP),Alec Trevelyan(ENTJ),Auric Goldfinger(ENTJ),Elliot Carver(ENTJ),Natalya Simonova(XXXX),Emilio Largo(ENTJ),Miranda Frost(ENTJ),General Ourumov(XXXX),Tan-Sun Moon / Gustav Graves(ENTJ),Kamal Khan(ENTJ),Tiger Tanaka(XXXX),Safin(ENTJ),Helga Brandt(ENTJ),Honey Ryder(ISFP),Severine(ISFP),May Day(XXXX),Dominique “Domino” Derval(ISFP),Camille(ISFP),Tiffany Case(ISFP),Lupe Lamora(ISFP),Strawberry Fields(ISFJ),Tatiana Romanova(XXXX),Mary Goodnight(XXXX),Aki(XXXX),Felix Leiter (David Hedison / Live and Let Die and Licence to Kill)(ISFJ),Kissy Suzuki(ISFJ),Andrea Anders(ISFJ),General Leonid Pushkin(ISFJ),James Bond (Archetype)(ISTP),James Bond (Craig)(ISTP),James Bond (Dalton)(ISTP),Jaws(ISTP),Oddjob(ISTP),Oddjob(ISTP),Francisco Scaramanga(ISTP),Major Anya Amasova / Agent xxx(ISTP),Major Anya Amasova / Agent xxx(ISTP),Donald ""Red"" Grant(ISTP),Fiona Volpe(ISTP),Stamper(ISTP),Melina Havelock(ISTP),Felix Leiter (Jack Lord / Dr. No)(ISTP),Zao(ISTP),Magda(ISTP),M (Judy Dench)(ISTJ),M / Gareth Mallory (Ralph Fiennes)(ISTJ),Mr. Hinx(ISTJ),Mr. Hinx(ISTJ),Felix Leiter (Jeffrey Wright / Casino Royale and more)(ISTJ),Wai Lin(XXXX),Felix Leiter (Cec Linder / Goldfinger)(ISTJ),Felix Leiter (John Terry / The Living Daylights)(ISTJ),Gobinda(ISTJ),Saunders(ISTJ),Madeleine Swann(INFP),Solitaire(XXXX),Mr. Wint(XXXX),Vesper Lynd(INFJ),Elektra King(INFJ),Karl Stromberg(INFJ),Octopussy(INFJ),Q / Major Boothroyd (Desmond Llewelyn)(INTP),Q (Ben Whishaw)(INTP),Boris Grishenko(INTP),Boris Grishenko(INTP),Nick Nack(INTP),Mr. Kidd(INTP),Holly Goodhead(INTP),Le Chiffre(INTJ),Ernst Stavro Blofeld / Franz Oberhauser(INTJ),Ernst Stavro Blofeld (Donald Pleasence)(INTJ),Dr. Julius No(INTJ),Mr. White(INTJ),Mr. White(INTJ),General Alexis / Anatol Gogol(XXXX),Ernst Stavro Blofeld (Telly Savalas)(INTJ),Hugo Drax(INTJ),M (Bernard Lee)(INTJ),Ernst Stavro Blofeld (Anthony Dawson)(INTJ),Kronsteen(INTJ),",   James Bond
318,"Mother Firefly(ESFP),Jerry Goldsmith(ESFP),Denise Willis(ESFJ),Baby(ESTP),Bill Hudley(ESTJ),Grampa Hugo(ESTJ),Captain Spaulding(ENTP),Captain Spaulding(ENTP),Otis B. Driftwood(ENTP),Mary Knowles(ISFJ),Rufus ""R.J."" Firefly J.R.(ISTP),Ravelli(ISTP),Steve Naish(ISTJ),Tiny(INFP),Dr. Satan(INTP),",   House of 1000 Corpses (2003)
319,"Gene Shepard(ESFP),Ann Finnigan(ESFJ),Betty Weathers(XXXX),Howard Finnigan(ESFJ),Lois Kaiser(ESTP),Tess Trainer(ESTJ),Stuart Kane(ESTJ),Paul Finnigan(ENFP),Stormy Weathers(ENFP),Bill Bush(ENTP),Earl Piggot(ISFP),Marian Wyman(ISFP),Doreen Piggot(ISFP),Jerry Kaiser(ISFJ),Claire Kane(ISFJ),Sherri Shepard(ISTP),Zoe Trainer(INFP),Honey Bush(INFP),Dr. Ralph Wyman(INTP),",   Short Cuts (1993)
320,"Rita(ESFP),Dwayne Elizondo Mountain Dew Herbert Camacho(ESTP),Joe Bauers ""Not Sure""(ISFP),Joe Bauers ""Not Sure""(ISFP),Frito Pendejo(ISTP),",   Idiocracy (2006)
321,"Max Cooperman(ESFP),Ryan McCarthy(ESTP),Baja Miller(ISFP),Teacher(INFJ),",   Never Back Down (2008)
322,"Cadet/Off. Zed McGlunk(ESFP),Sgt. Nick Lassard(ESFP),Cmndt. Eric Lassard(ESFJ),Cadet Karen Thompson(ESTP),Cadet/Sgt. Chad Copeland(ESTP),Sgt./Lt./Capt./D.A. Debbie Callahan(ESTJ),Lt./Capt./Cmndt. Thaddeus Harris(ESTJ),Lt./Capt./Cmndt./Sheriff Ernie Mauser(ESTJ),Cadet/Off./Sgt. Carey Mahoney(ENFP),Cadet/Off./Sgt. Laverne Hooks(ISFJ),Cadet/Off./Sgt. Laverne Hooks(ISFJ),Cadet Leslie Barbara(ISFJ),Cadet/Off./Sgt./Capt. Eugene Tackleberry(ISTP),Cadet/Off./Sgt. Larvell Jones(ISTP),Off./Sgt./Lt./Capt. Kathleen Kirkland-Tackleberry(ISTP),Cadet/Off./Sgt./Lt./Capt. Moses Hightower(ISTJ),Sgt./Lt./Capt./Acting Capt. Carl Proctor(ISTJ),Cadet Kyle Connors(ISTJ),Police Chief/Comm./Cmndt. Henry J. Hurst(ISTJ),Cadet/Off. Carl Sweetchuck(XXXX),Cadet/Off./Sgt. Douglas Fackler(INTP),",   Police Academy
323,"Red(ESFP),Angie Anderson(ESFP),Matheson(ESFJ),Shannon(ESFJ),Robert(ESTJ),Dale Denton(ENFP),Ted Jones(ENFP),Private Miller(ENFP),Carol(ENTJ),Saul Silver(ISFP),Saul Silver(ISFP),Saul Silver(ISFP),Budlofsky(ISTJ),",   Pineapple Express (2008)
324,"H.I(ESFP),Dot(ESFJ),Gale(ESTP),Glen(ESTP),Ed(ESTJ),Nathan Arizona, Sr.(XXXX),Evelle(ISFP),Leonard Smalls(ISTP),",   Raising Arizona (1987)
325,"Twitchy(ESFP),Granny Puckett(ESTP),Kirk Kirkkendall(ENFP),Boingo(ENTJ),Red(ISFP),",   Hoodwinked! (2005)
326,"Matt Garetty(ESFP),Steve Montgomery(ENFJ),Richard Detmer(ISTJ),Andrew Detmer(INFP),",   Chronicle (2012)
327,"Brandon Teena(ESFP),John Litter(ESFP),Mom(ISFJ),Candace(ISFJ),Tom Nissen(ISTP),",   Boys Don't Cry (1999)
328,"Cassie(ESFP),Nora Fanshaw(ESFJ),Sandra(ESFJ),Sandra(ESFJ),Nicole Barber(ENFP),Henry Barber(ISFP),Charlie Barber(INFJ),Bert Spitz(INTP),",   Marriage Story (2019)
329,"Palmer Dodge(ESFP),Eddie “Dolph” Simms(ESFP),Devlin Adams(ESFJ),Danny Maccabee(ENTP),Maggie “Kiki Dee” Murphy(ENTP),Michael “Bart” Murphy(ISTP),",   Just Go with It (2011)
330,"Amy Rainey(ESFP),Mort Rainey(INTP),John Shooter(INTJ),",   Secret Window (2004)
331,"Shorty Meeks(ESFP),Father McFeely(ESFP),Hanson(ESFJ),Brenda Meeks(ESTP),Ray(ENFP),Buddy(ENFP),Miss Mann(ENFJ),The Killer (Ghostface)(ENTP),Gail Hailstorm(ENTJ),Buffy Gilmore(ENTJ),Bobby(ISFP),Theo(ISTP),Cindy Campbell(INFP),Dayron sweeney(INFJ),Dwight(INTP),",   Scary Movie
332,"Trollex(ESFP),Guy Diamond(ESFP),Marimba(ESFP),Smidge(ESFP),Satin(XXXX),Cooper(ESFJ),Clampers(ESFJ),Delta Dawn(ESFJ),Chenille(XXXX),Tambora(ESTP),Tresillo(ESTJ),Wani(ESTJ),Poppy(ENFP),Poppy(ENFP),Baby Bun(ENFP),Gomdori(ENFP),Hickory(ENFJ),Pennywhistle(ENFJ),Cloud Guy(ENFJ),Legsly(ENFJ),Prince D(ENTP),Kim-Petit(ENTP),King Quincy(ENTP),Biggie(ISFP),DJ Suki(ISFP),Queen Essence(ISFJ),Chaz(ISTP),Ari(ISTP),Riff(ISTP),Tiny Diamond(ISTJ),Carol(ISTJ),Dickory(ISTJ),King Thrash(XXXX),Mr. Dinkles(INTP),Trollzart(INTJ),Archer(XXXX),",   Trolls World Tour
333,"Calogero 'C' Anello(ESFP),Crazy Mario(ESFP),Rosina Anello(ESTJ),Jane Williams(ENFP),Sonny LoSpecchio(ENTJ),Lorenzo Anello(ISFJ),",   A Bronx Tale (1993)
334,"Cricket(ESFP),Hua Zhou(ESFJ),Yao(ESTP),Matchmaker(ESTJ),Cheng Honghui(ENFJ),Hua Mulan(ISFP),Commander Tung Yong(ISTJ),Commander Tung Yong(ISTJ),Hua Li(ISTJ),Xian Lang(INFJ),",   Mulan (2020)
335,"Becky's Grandma(ESFP),Tucker Van Dyke(XXXX),Betty Carver(ESFJ),Ken Carver(ESTJ),Bobby McBurney(ENFP),Amy Grape(ENFJ),Ellen Grape(ENTJ),Ellen Grape(ENTJ),Ellen Grape(ENTJ),Gilbert Grape(ISFP),Bonnie Grape(ISFJ),Bonnie Grape(ISFJ),Bonnie Grape(ISFJ),Becky(INFJ),",   What's Eating Gilbert Grape (1993)
336,"Goku(ESFP),Yamcha(ESTP),",   Dragonball Evolution (2009)
337,"Hook Hand Thug(ESFP),Flynn Rider / Eugene Fitzherbert(ESTP),Mother Gothel(ESTJ),Rapunzel(ENFP),Short Thug(ENFP),Maximus(ISTJ),Pascal(INFP),",   Tangled (2010)
338,"Nate Pullman(ESFP),Ellie(ESFP),Charlotte Cody(ESFJ),Savanna(ESTJ),Jack Will(ENFP),Christopher(ENFP),Isabel Pullman(ENFJ),Mr. Brown(ENFJ),Mr. Tushman(ENFJ),Ximena(ENTJ),Melissa Albans (Julian's mum)(ENTJ),Miranda Navas(ISFP),Maya(ISFP),Olivia Pullman ""Via""(ISFJ),Jules Albans (Julian's dad)(ISTJ),August Pullman ""Auggie""(INFP),",   Wonder (2017)
339,"Sergeant Red O'Neill(ESFP),King(ESFP),Francis(ESFP),Junior(ESFJ),Staff Sergeant Bob Barnes(ESTJ),Lt. Wolfe(ENFP),Sgt. Elias Grodin(ENFJ),Sgt. Elias Grodin(ENFJ),Rhah(ENTP),Big Harold(ISFJ),Lerner(INFJ),",   Platoon (1986)
340,"Ashley Freund(ESFP),Ashlyn Halperin(ESFP),Frankie Cheeks(ESTP),Lewis Romero(ESTP),Julie Christensen(ESTJ),Erin Ulmer(ISTP),Wendy Christensen(INFJ),Wendy Christensen(INFJ),",   Final Destination 3 (2006)
341,"Fender Pinwheeler(ESFP),Piper Pinwheeler(ESFP),Aunt Fanny(ESFJ),Lydia Copperbottom (Rodney's Mom)(ESFJ),Bigweld(ENFJ),Rodney Copperbottom(ENTP),Madame Gasket(ENTJ),Lug(ISFP),Crank Casey(ISTP),Tim(ISTJ),Diesel Springer(INFJ),",   Robots (2005)
342,"Julia Cotton(ESFP),Kirsty Cotton(ENFP),Frank Cotton(ISTP),Larry Cotton(ISTJ),Pinhead(INTJ),",   Hellraiser
343,"Rayla(ESFP),Rayna(ESTP),Prince Carlos(ENFP),Nori(XXXX),Elina(ISFJ),Elina(ISFJ),Elina(ISFJ),Mariposa(INFP),",   Barbie Mariposa
344,"Cal Naughton Jr.(ESFP),Lucy Bobby(ESFJ),Carley Bobby(ESFJ),Ricky Bobby(ESTP),Jean Girard(ENTJ),Susan(ISFJ),Reese Bobby(ISTP),",   Talladega Nights: The Ballad of Ricky Bobby (2006)
345,"Tuma(ESFP),Roxana(ESFJ),Sam(ESTP),January(ESTJ),Catherine(ENFJ),Mike Kleinberg(ISFP),Eleanor(ISFJ),Matteo(INFP),Professor James Morrow(XXXX),",   Secret Society Of Second Born Royals (2020)
346,"Blondie(ESFP),He Zhiwu(ENFP),Charlie / Cherry(ISFJ),Wong Chi-Ming(ISTP),Killer's Agent(INFP),",   Fallen Angels (Do Lok Tin Si) (1995)
347,"Argyle(ESFP),Sergeant Al Powell(ESFJ),Harry Ellis(ESTP),Major Grant(ESTP),John 'Jack' McClane Jr.(ESTP),Holly Gennaro McClane(ESTJ),Joseph Yoshinobu Takagi(ESTJ),Richard Thornburg(ESTJ),Simon Gruber(ENTP),Ellis(XXXX),General Ramon Esperanza(ENTJ),Zeus Carter(ISFP),Zeus Carter(ISFP),Lucy McClane(ISFP),Leslie Barnes(ISFJ),Detective Lt John McClane(ISTP),Karl Vreski(ISTP),Katya(ISTP),Mai Linh(ISTP),Colonel William Stuart(ISTJ),Inspector Walter Cobb(ISTJ),Matt Farrell(INTP),Freddy Kaludis / Warlock(INTP),Hans Gruber(INTJ),Thomas Gabriel(INTJ),",   Die Hard
348,"Ryan Connolly(ESFP),Jim Neiman(ESFJ),Carl Tanner(ESTJ),Carl Tanner(ESTJ),Terence Fletcher(ENTJ),Andrew Neiman(ISFP),",   Whiplash (2014)
349,"Bianca ""The Milanese Nightingale"" Castafiore(ESFP),Mrs. Finch(ESFJ),Allan(ESTP),Snowy(XXXX),Sir Francis Haddock(ENFJ),Sheik Omar Ben Salaad(ENFJ),Red Rackham(ENTJ),Tom(ISFP),Nestor(ISFJ),Thomson(ISFJ),Thompson(ISFJ),Barnaby Dawes(ISTP),Aristides Silk (The Pickpocket)(INFP),Ivan Ivanovitch Sakharine(INTJ),",   The Adventures of Tintin (2011)
350,"Rod Tidwell(ESFP),Avery Bishop(ESTJ),Bob Sugar(ESTJ),Jerry Maguire(ENTJ),Dorothy Boyd(INFP),",   Jerry Maguire (1996)
351,"Mahendra Baahubali(ESFP),Bhallaladeva(ESTP),Amarendra Baahubali(ENFJ),Bijjaladeva(XXXX),Sivagami(ENTJ),Kattappa(ISFJ),Devasena(INTJ),",   Baahubali (Film Series)
352,"Gal(ESFP),Teddy(ENTP),Don(ENTJ),",   Sexy Beast (2000)
353,"Kitty Fane(ESFP),Walter Fane(ISTJ),",   The Painted Veil (2006)
354,"Linda Barrett(ESFP),Lisa(ESFJ),Mike Damone(ESTP),Mr. Vargas(ENTP),Mark Ratner(ISFJ),Charles Jefferson(ISTP),Mr. Hand(ISTJ),Arnold(INTP),",   Fast Times at Ridgemont High (1982)
355,"Maggie(ESFP),Jasper Bloom(ESTP),Amanda Woods(ENTJ),Iris Simpkins(ISFJ),",   The Holiday (2006)
356,"Robbie Weaver(ESFP),Bernie Riley(ESFP),Kate Tafferty(ESFP),Emily Weaver(ESFJ),Madison(ESTP),Claire(ESTJ),Richard(ESTJ),David Lindhagen(ENFJ),Jacob Palmer(ENTP),Jessica Riley(INFP),","   Crazy, Stupid, Love (2011)"
357,"Glenjamin(ESFP),Nova(XXXX),Dane(ESFP),Riktor(ESTJ),Miles(ENFP),Miles(ENFP),Nix(ISTP),Nix(ISTP),Degraves(ISTJ),Hadley(INTP),",   Guns Akimbo (2020)
358,"Garfield Logan ""Beast Boy""(ESFP),Billy Batson ""Shazam""(ESFP),Hal Jordan ""Green Lantern""(ESFP),Koriand'r ""Starfire""(ESFJ),Lois Lane(ESTP),Conner Kent ""Superboy""(ESTP),Arthur Curry ""Aquaman""(ESTP),Selina Kyle ""Catwoman""(ESTP),Jason Blood ""Etrigan the Demon""(XXXX),Crystal Frost ""Killer Frost""(ESTP),George Harkness ""Captain Boomerang""(ESTP),Trigon(ESTJ),Harleen Quinzel ""Harley Quinn""(ENFP),Jimmy Olsen(ENFP),Dick Grayson ""Nightwing""(ENFJ),Dick Grayson ""Nightwing""(ENFJ),Diana Prince / 'Wonder Woman'(ENFJ),John Constantine(ENTP),Joker(ENTP),Damian Wayne ""Robin""(ENTJ),Lex Luthor(ENTJ),Barbara Gordon ""Batgirl""(ENTJ),Kate Kane ""Batwoman""(XXXX),Talia al Ghul(ENTJ),Orm ""Ocean Master""(ENTJ),Zatanna(ISFP),Terra(ISFP),Jaime Reyes ""Blue Beetle""(ISFJ),Jason Todd/Red Hood(Under The Red Hood)(ISTP),Floyd Lawton ""Deadshot""(ISTP),Talon(ISTP),Amanda Waller(ISTJ),Paradooms(ISTJ),Mera(ISTJ),Luke Fox ""Batwing""(ISTJ),Barry Allen / 'The Flash'(INFP),Raven(INFJ),Pamela Isley ""Poison Ivy""(INFJ),Ra's al Ghul(INFJ),J'onn J'onzz ""Martian Manhunter""(INFJ),Victor Stone ""Cyborg""(INTP),Bruce Wayne / 'Batman'(INTJ),Black Manta(INTJ),",   DC Animated Movie Universe
359,"President Skroob(ESFP),Princess Vespa(ESFJ),Pizza the Hutt(ESTP),Colonel Sandurz(ESTJ),Commanderette Zircon(ESTJ),Dark Helmet(ENTP),Dark Helmet(ENTP),Prince Valium(ISFP),Dot Matrix(ISFJ),Major Asshole(ISTJ),Yogurt(INFJ),Radar Technician(INTP),",   Spaceballs (1987)
360,"Larry(ESFP),Emory(ENFP),Cowboy(ISFP),Hank(ISFJ),Michael(ISTJ),Alan(ISTJ),Bernard(INFJ),Harold(INTJ),",   The Boys in The Band
361,"Vronsky(ESFP),Oblonsky(ENFP),Alexei Alexandrovich Karenin(ISTJ),Konstantin Dmitrievich Levin(INFP),",   Anna Karenina (2012)
362,"Plog, Blacksmith(ESFP),Lisa/Kunigunda, Plog's Wife(ESFP),Mia(ESFJ),Mia(ESFJ),Jöns(ESTP),The Monk(ESTJ),Jof(ENFP),Jonas Skat(ENTP),Albertus Pictor, Church Painter(ENTP),Death(ENTJ),Raval, Thief(ISTP),Mute Girl(XXXX),Karin, Antonius' Wife(INFP),Antonius Block(INFJ),The Witch(INFJ),",   The Seventh Seal (1957)
363,"Donny, Donny(ESFP),Natalie(XXXX),Isabella(ENFJ),Blake(ENTJ),Whitney(ISFP),",   Isn't it Romantic? (2019)
364,"Kleinfeld(ESFP),Benny Blanco(ESTP),Carlito(ENTJ),Gail(ISFP),",   Carlito's Way
365,"Neto Gouveia(ESFP),Maria(ESFP),Roberta(ESFP),Rosane(ESFJ),Captain Fábio Barbosa(ESTP),Captain Roberto Nascimento(ESTJ),Baiano(ENFP),",   Elite Squad (2007)
366,"Sally Badina(ESFP),Manny Karp(ESTP),Burke(XXXX),",   Blow Out (1981)
367,"Helen(ESFP),David Goldman(ESFJ),Jack Mellor(ESTJ),Danny(ENTJ),Jenny Mellor(INFJ),",   An Education (2009)
368,"Kaori(ESFP),Tetsu(ISFJ),Yu(INFP),Koike(INTJ),",   Love Exposure (2008)
369,"Gabi Krasucka(ESFP),Paweł Rudnicki(ENFJ),",   Suicide Room. The Hater (2020)
370,"Mai (Number 11)(ESFP),Kenichi (Number 2)(ESFJ),Seigo (Number 10)(ESTP),Meiko (Number 6)(ESTJ),Satoshi (Number 1)(ENTP),Mitsue (Number 3)(ISFP),Nobuo (Number 9)(ISTP),Shinjiro (Number 5)(ISTJ),Takahiro (Number 8)(INFP),Takahiro (Number 8)(INFP),Ryoko (Number 4)(INFJ),Anri (Number 7)(INTJ),",   12 Suicidal Teens (2019)
371,"Father Brendan Flynn(ESFP),Sister Aloysius Beauvier(ESTJ),Sister James(XXXX),Mrs. Muller(ISFJ),",   Doubt (2008)
372,"Kelly Van Ryan(ESFP),Sam Lombardo(ESTP),Sandra Van Ryan(ENTJ),Suzie Toller(ISFP),Gloria Perez(ISTJ),Ken Bowden(XXXX),Ray Duquette(XXXX),",   Wild Things (1998)
